carc_code,carc_description,denial_category,is_appealable,is_preventable,payer_name,payer_group,denial_count,denied_charges,at_risk_balance,avg_age_days,recoverable_value
CO-16,Claim/service lacks information or has submission/billing error,Technical,true,true,Blue Cross Blue Shield,Commercial,35,266510.64,172849.39,379.8333333333333,172849.39
CO-50,"Non-covered service, not deemed a medical necessity",Medical Necessity,true,false,Workers Compensation,Workers Comp,32,352976.28,164333.59,353.07142857142856,164333.59
CO-16,Claim/service lacks information or has submission/billing error,Technical,true,true,Medicare Part B,Government,44,219905.11,142409.87,286.625,142409.87
CO-16,Claim/service lacks information or has submission/billing error,Technical,true,true,Cigna,Commercial,40,254513.43,120378.61,344.1363636363636,120378.61
CO-197,Precertification/authorization absent,Authorization,true,true,Blue Cross Blue Shield,Commercial,26,195841.02,103174.26,341.0,103174.26
CO-197,Precertification/authorization absent,Authorization,true,true,Medicaid State Plan,Government,22,185991.41,95434.07,341.1666666666667,95434.07
CO-50,"Non-covered service, not deemed a medical necessity",Medical Necessity,true,false,Blue Cross Blue Shield,Commercial,26,233919.18,89026.36,362.4166666666667,89026.36
CO-16,Claim/service lacks information or has submission/billing error,Technical,true,true,Aetna,Commercial,38,223491.24,87549.16,326.42857142857144,87549.16
CO-50,"Non-covered service, not deemed a medical necessity",Medical Necessity,true,false,Aetna,Commercial,24,175061.71,76975.93,282.7857142857143,76975.93
CO-18,Exact duplicate claim or service,Duplicate,true,true,Medicare Part B,Government,18,162677.54,73740.06,262.0,73740.06
CO-18,Exact duplicate claim or service,Duplicate,true,true,UnitedHealthcare,Commercial,19,219251.59,68464.11,322.54545454545456,68464.11
CO-50,"Non-covered service, not deemed a medical necessity",Medical Necessity,true,false,UnitedHealthcare,Commercial,29,169402.30,65856.77,276.6,65856.77
CO-18,Exact duplicate claim or service,Duplicate,true,true,Cigna,Commercial,20,157515.72,65107.39,304.85714285714283,65107.39
CO-16,Claim/service lacks information or has submission/billing error,Technical,true,true,UnitedHealthcare,Commercial,33,182314.41,64190.89,303.11764705882354,64190.89
CO-18,Exact duplicate claim or service,Duplicate,true,true,Humana Medicare Advantage,Government,14,148471.24,63738.65,268.25,63738.65
